,full_text,sentiment
0,Hai siapa yang mau pergi Richiamo Coffee Sungei Wang Plaza naik MRT boleh melihat video ini,netral
1,Situasi MRT sore hari ini,netral
2,Singapura itu walkable city banget. Surganya pejalan kaki deh. Mau menyebrang atas pake AC atau menyebrang bawah juga bisa. Pedestrian juga lebar &amp; bersih. Mau naik transportasi umum dari ujung ke ujung tinggal pilih MRT/bus semua terkoneksi dengan baik.,positif
3,Gak heran kalo Changi Airport itu salah satu bandara terbaik di dunia. Dari/Ke bandara kemudian naik MRT. Di dalamnya udah ada sky train bus travelator banyak. Lalu yang paling nyenengin adalah imigrasi cepat dan begitu keluar bagasi udah pada jalan. Kok bisa ya secepat itu?,positif
4,Jalan TB Simatupang tuh ajaib Pintu keluar tol bersebelahan dgn jalan macet. Di seberangnya ada putar balik yg dipadu dgn pintu masuk tol dan pintu masuk MRT Fatmawati dan lagi macet. Bila masih kurang msh bisa ditambah bagus dgn ganjil genap jalan Fatmawati. bagus,netral
5,Tanyarl berikan saran rute krl/mrt buat ngedate dong kalau bisa sekalian sama referensi kulinernya. Terima kasih !,netral
6,Keluar dari Mrt Station Bugis   ,netral
7,"Walaupun trotoar di Sudirman bagus, itu tidak membuat overall walking experience di jalan itu menyenangkan Trotoarnya mati. Tidak ada aktivitas karena semua gedungnya mengisolasi diri. Mau nyari Indomaret antara harus ke Stasiun MRT atau ribet masuk gedung, bersyukur ada Starling",netral
8,Keseruan naik MRT ️️️️,positif
9,gw lebih baik bus. - lebih cepat diimplementasikan tanpa harus membongkar jalanan kyk MRT dll. - gw benci kereta LRT dan MRT brisik bgt. Jarang dpt tempat duduk. - scalable klo kurang tambahin bisnya. Kurang jauh trayeknya bangun halte. ,negatif
10,Tanyarl tapi benar kalau naik mrt orang-orang nya beda gitu outfitnya haha,netral
11,Rumah unt disewa. Hantaran: 1 300(fully furnish) Deposit: 1Month Utilities: 200 Lokasi: KAJANG/B.B.BANGI Kemudahan: - Surau Al-Islah - CS Supermarket - CIMB - MRT Station - Owner Muslim - Direct Owner - Middle of Feb Contact number: -,netral
12,Info kosan Kosan campur yg jaga enak!! sgt nyaman. jalan ke MRT hanya dengan 5 menit HAHAHA. gw memutuskan buat jd mau menawarkan org. kalo ada yg mau melihat kosannya bisa dibalas dibawah ya. Terima kasih,netral
13,MRT 6:09 spt biasa,netral
14,Kalau MRT ada yang pindah peron kemudian kita bisa bicara.,netral
15,saya sudah bilang lebih enak membangun Masjid Patung Gapura dll. Dibandingkan susah membuat gorong-gorong trotoar yg lebar LRT/MRT/KRL,netral
16,MRT Jakarta tengah mengajukan agar stasiun dan fasilitas kereta api mereka menjadi objek vital nasional. Apabila hal ini disetujui MRT maka akan setara dengan pelabuhan pabrik tertentu pembangkit listrik dan aset vital lainnya. ,positif
17,MRT Minta Evaluasi Tarif Integrasi,netral
18,Gw pernah menemukan ibu dan bayi yg tidak diberikan kursi duduk di mrt.,negatif
19,Anak mrt terpanggil . Jujur saja aku anak grab tp demi jalan kaki lebih banyak kalau setelah olahraga mengusahakan pulangnya naik mrt padahal jdnya berputar.,negatif
20,MRT udah seramai ini. KRL juga super ramai.. tapi jalanan masih sangat macet. Gw tidak paham Jakarta itu menampung berapa banyak beban pekerja.,netral
21,Kalo berangkat naik Transjakarta pulang naik MRT,netral
22,Haha gw biasanya naik krl sama tj. Dan saat jadi warga mrt merasa miskin. Enaknya sih ga ada emak emak kepo yg tau tau mengintip gw sedang chat siapa,positif
23,Coba aja nanti kalo MRT sudah sampai bekasi tangerang bogor kita pembaruan lagi ya,netral
24,Sementara itu plaza indonesia dan gi yang nempel sama stasiun MRT menolak akses langsung bawah tanah karena pengguna Mrt dAn tj bukan market kami,negatif
25,Simulasi skala pembangunan transportasi publik dengan anggaran 500 triliun rupiah: 490 km MRT Jakarta (Fase I) 500 km LRT Jakarta 742 km LRT Jabodebek 1.034 km LRT Palembang 50.000 km BRT Transjakarta Sumber: Putra 2021,netral
26,saat naik mrt emg beda banget suasana nya wkwkwkw,positif
27,memang enak sih naik mrt kalau ingin santai dan hening. gw sering naik tj sampe blok m terus lanjut mrt ke benhil. sampai benhil beli makanan di familymart mrt,positif
28,kalau MRT rutenya sejauh KRL atau sebanyak TJ setelah itu bisa bandingkan,netral
29,gw dari KRL ke MRT gila banget bedanya wkwk kalo pulang terasa bgt di MRT tas taro belakang gpp tp sampe Sudirman lgsg pindah depan,positif
30,HAHAHAHAH yang MRT iya banget lagi tiap hari ada aja yg seperti fashion show,positif
31,Dengan asumsi ke kantor 3 kali seminggu dan setelah kerja langsung pulang ke rumah: Pergi: Ojek daring - 15rb Pulang: Dari lokasi kantor  Jalan kaki - Gratis Dari lokasi kantor  MRT 1 stasiun &amp; jalan kaki - 4rb Asumsi kantor 1 ~33% kantor 2 ~66%: 180 + ~30: Rp 210rb,netral
32,Ojol 20rb x 2 = 40rb Mrt 13rb x 2 = 26rb Total sehari 66rb Total sebulan 1.320rb Ojol sebenarnya bisa diganti angkot atau jalan kaki karna jarak nya sekitar 3 kilo meter tapi ga sepadan sama pengorbanan waktu polusi dan perasaan khawatir sepanjang jalan,netral
33,pemakaian gojek di jakarta malah tinggi dan belum sah jadi anak jakarta soalnya masih menghindari naik busway/krl/mrt,netral
34,agak sial keluar MRT malah hujan,negatif
35, salah naik station mrt,netral
36,"MRT: percaya diri pake ransel di belakang, TJ: tas di depan KRL: tas di depan sambil dilindungi sama tangan supaya kotak-kotak makanan gw tidak pada miring-miring dan tumpah gara-gara banyak massa.",positif
37,demi Allah real cita cita gue kuliah di jakarta demi naik mrt,positif
38,"egois bgt orang-orang yg ngambil jatah 2 tempat duduk di mrt supaya ga berdekatan sm orang lain, pengin gw nasehatin wkwk",negatif
39,Sekarang kalo gw WFO gw punya 2 opsi: 1. Motor 9 km + KRL (citayam-tebet) + TJ 2. Motor 23 km + MRT Lebak Bulus + TJ Lebih enak MRT walau naik motor lebih jauh. Karena di MRT pasti duduk dan lebih nyaman. Dan ga boleh ngobrol di MRT itu positif buat gw. Wkwkwk,positif
40,Fitur noise cancelling ini ternyata bermanfaat banget terutama pas di MRT. Pengumumannya berisik,negatif
41,Gw yang naik kereta terus menyambung mrt:,netral
